pregunta;respuesta;texto_embedding;categoria_nombre;categoria_completa
Hay algún restaurante o local de comida India en MUT;Sí, en MUT hay un local de comida India que se llama Naresh y está en el piso -2;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay algún restaurante o local de comida India en MUT | RESPUESTA: Sí, en MUT hay un local de comida India que se llama Naresh y está en el piso -2;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay panaderías, pastelerías y bollería en MUT;Sí, en MUT hay varias panaderías y pastelerías, entre ellas puedes encontrar: -piso -3: Castaño y Pastelería Jo -piso -2: Pan León, Hojas de Cami, Macarons Riches, Pasteles Orientales, Dulce Entorno, Gastronautas -piso 3: Rebelde;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay panaderías, pastelerías y bollería en MUT | RESPUESTA: Sí, en MUT hay varias panaderías y pastelerías, entre ellas puedes encontrar: -piso -3: Castaño y Pastelería Jo -piso -2: Pan León, Hojas de Cami, Macarons Riches, Pasteles Orientales, Dulce Entorno, Gastronautas -piso 3: Rebelde;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay algún local de comida vegana en MUT;Sí, en MUT hay un local de comida vegana que se llama Alma y está en el piso -2;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay algún local de comida vegana en MUT | RESPUESTA: Sí, en MUT hay un local de comida vegana que se llama Alma y está en el piso -2;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay queserías o locales de venta de quesos en MUT;"Sí, en MUT puedes encontrar las siguientes queserías: -piso -2: Central Orgánica y Santiago Cheesemongers; -piso 3: Le Dix Vins, que es un bar de quesos y vino";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay queserías o locales de venta de quesos en MUT | RESPUESTA: Sí, en MUT puedes encontrar las siguientes queserías: -piso -2: Central Orgánica y Santiago Cheesemongers; -piso 3: Le Dix Vins, que es un bar de quesos y vino";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué significa MUT o qué es MUT;MUT significa Mercado Urbano Tobalaba. MUT es el primer mercado Urbano de Chile. Es un proyecto de uso mixto, que combina una mercado urbano con oficinas y áreas verdes.;CATEGORIA: Otras preguntas | PREGUNTA: Qué significa MUT o qué es MUT | RESPUESTA: MUT significa Mercado Urbano Tobalaba. MUT es el primer mercado Urbano de Chile. Es un proyecto de uso mixto, que combina una mercado urbano con oficinas y áreas verdes.;Otras preguntas;10 Otras preguntas
¿MUT es un mall o un centro comercial?;MUT es un Mercado Urbano, no es un mall.;CATEGORIA: Otras preguntas | PREGUNTA: ¿MUT es un mall o un centro comercial? | RESPUESTA: MUT es un Mercado Urbano, no es un mall.;Otras preguntas;10 Otras preguntas
Hay feria de frutas y verduras en MUT;Sí, en MUT tenemos una feria de frutas y verduras. Está ubicada en el centro del piso -2;CATEGORIA: Otras preguntas | PREGUNTA: Hay feria de frutas y verduras en MUT | RESPUESTA: Sí, en MUT tenemos una feria de frutas y verduras. Está ubicada en el centro del piso -2;Otras preguntas;10 Otras preguntas
Hay teindas de abarrotes y tiendas gourmet en MUT;Sí, en MUT puedes encontrar tiendas de abarrotes y gourmet entre ellas están en el piso -2: - La tienda de abarrotes Unaf. - La tienda gourmet Emporio Sabores de Chile. - La tienda de mate y accesorios Mundo Mate.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay teindas de abarrotes y tiendas gourmet en MUT | RESPUESTA: Sí, en MUT puedes encontrar tiendas de abarrotes y gourmet entre ellas están en el piso -2: - La tienda de abarrotes Unaf. - La tienda gourmet Emporio Sabores de Chile. - La tienda de mate y accesorios Mundo Mate.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay cajero automático en MUT para sacar plata;Sí, en MUT hay un cajero automático en el piso -3 donde puedes sacar dinero. También puedes ir al Santander Work café que está en la esquinode El Bosque con Roger de Flor;CATEGORIA: Otras preguntas | PREGUNTA: Hay cajero automático en MUT para sacar plata | RESPUESTA: Sí, en MUT hay un cajero automático en el piso -3 donde puedes sacar dinero. También puedes ir al Santander Work café que está en la esquinode El Bosque con Roger de Flor;Otras preguntas;10 Otras preguntas
Hay banco en MUT;Sí, en MUT esta el banco Santander Work Café. Lo encuentras en la esquina de El Bosque Norte con Roger de Flor;CATEGORIA: Otras preguntas | PREGUNTA: Hay banco en MUT | RESPUESTA: Sí, en MUT esta el banco Santander Work Café. Lo encuentras en la esquina de El Bosque Norte con Roger de Flor;Otras preguntas;10 Otras preguntas
Hay cine en MUT;NO, en MUT no hay cine;CATEGORIA: Otras preguntas | PREGUNTA: Hay cine en MUT | RESPUESTA: NO, en MUT no hay cine;Otras preguntas;10 Otras preguntas
Hay casa de cambio en MUT;Sí en MUT está AFEX, casa de cambio o money exchanger. Está en el piso -3;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay casa de cambio en MUT | RESPUESTA: Sí en MUT está AFEX, casa de cambio o money exchanger. Está en el piso -3;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay lugares donde tomar desayuno en MUT;Puedes tomar desayuno en varios lugares, hay muchas cafeterías en MUT que sirven desayuno: Piso -3: Juan Valdez, Jo Pastelería, Castaño Piso -2: We are Four, Café Altura Piso -1: Aura, The Coffee Piso 1: Barra Fundición, Pascucci Piso 2: Starbucks Piso 3: Rebelde;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay lugares donde tomar desayuno en MUT | RESPUESTA: Puedes tomar desayuno en varios lugares, hay muchas cafeterías en MUT que sirven desayuno: Piso -3: Juan Valdez, Jo Pastelería, Castaño Piso -2: We are Four, Café Altura Piso -1: Aura, The Coffee Piso 1: Barra Fundición, Pascucci Piso 2: Starbucks Piso 3: Rebelde;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay lugares para comer ensaladas en MUT;Sí, en MUT hay varios restaurantes, cocinerías y locales que venden ensaladas: -piso -2: Alma Vegan, Chicken International, Savoia, Pan León -piso -1: Aura -piso 1: Barra Fundición y Pascucci -piso 3: Rebelde -piso 4: Toni Lautaro -piso 5: Diablo;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay lugares para comer ensaladas en MUT | RESPUESTA: Sí, en MUT hay varios restaurantes, cocinerías y locales que venden ensaladas: -piso -2: Alma Vegan, Chicken International, Savoia, Pan León -piso -1: Aura -piso 1: Barra Fundición y Pascucci -piso 3: Rebelde -piso 4: Toni Lautaro -piso 5: Diablo;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuáles son los horarios de los estacionamientos de MUT;"Los horarios de funcionamiento de los estacionamientos de autos de MUT son: lunes a domingo de 7:00 a 00:00 horas. Los horarios de funcionamientos de los estacionamientos de bicicletas o ""bici hub"" de MUT son: lunes a domingo de 7:00 a 22:00 horas.";"CATEGORIA: Información sobre estacionamientos | PREGUNTA: Cuáles son los horarios de los estacionamientos de MUT | RESPUESTA: Los horarios de funcionamiento de los estacionamientos de autos de MUT son: lunes a domingo de 7:00 a 00:00 horas. Los horarios de funcionamientos de los estacionamientos de bicicletas o ""bici hub"" de MUT son: lunes a domingo de 7:00 a 22:00 horas.";Información sobre estacionamientos;8 Información sobre estacionamientos
Qué es el Bici Hub de MUT;Espacio al interior de MUT dedicado exclusivamente al uso de la bicicleta, scooters y otras formas de electro movilidad. Cuenta con estacionamientos, duchas, lockers, talleres y todo un mundo para que los ciclistas se sientan bienvenidos e integrados al proyecto.;CATEGORIA: Información sobre estacionamientos | PREGUNTA: Qué es el Bici Hub de MUT | RESPUESTA: Espacio al interior de MUT dedicado exclusivamente al uso de la bicicleta, scooters y otras formas de electro movilidad. Cuenta con estacionamientos, duchas, lockers, talleres y todo un mundo para que los ciclistas se sientan bienvenidos e integrados al proyecto.;Información sobre estacionamientos;8 Información sobre estacionamientos
Cuál es la tarifa del estacionamiento de MUT;La tarifa de estacionamientos de autos MUT es: $32 el minuto y tope diario de $15.000.;CATEGORIA: Información sobre estacionamientos | PREGUNTA: Cuál es la tarifa del estacionamiento de MUT | RESPUESTA: La tarifa de estacionamientos de autos MUT es: $32 el minuto y tope diario de $15.000.;Información sobre estacionamientos;8 Información sobre estacionamientos
